resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,id_str,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,average_cadence,average_heartrate,max_heartrate,suffer_score,average_watts,device_watts,kilojoules
2,"{'id': 35493527, 'id_str': '35493527', 'resource_state': 1}",Course à pied du midi,4612.8,1544,1641,20.7,Run,Run,,Strava App,19334880487,19334880487,2026-07-16T10:31:55Z,2026-07-16T12:31:55Z,(GMT+01:00) Europe/Paris,7200.0,,,,1,0,0,1,0,"{'id': 'a19334880487', 'summary_polyline': 'g~nhHit_MQ@UFWAG@]RKP]J[RYZEPOTADBHGBARABG?AHd@jADf@BHJJBFEHm@^O\\k@`@_@^wBvAk@b@CJ@l@Gv@Jn@LhA@LCLSXCVMTYRsAjAaAj@CHg@\\ABBx@N|CXzA?CGTv@lAf@lAPp@Vr@R^FVt@bANl@Vn@pAnE@f@CP]f@KFI@[UG?CG?ONs@@MA_@Ou@Ea@QWSM]@ULKCg@XKNGFWJWPUZMf@C`@Fv@JX^r@FBTBJCPKXIFKJ]R]n@g@Tc@Hs@CaA_@o@MOU?QDQJINo@`@g@h@]XGJMh@Ab@B^F^NVZZX@t@OLONa@\\[Za@Zq@Jm@Am@GSKOYWKCU@ODYTc@Zg@f@_@VOXKf@J|AFPT^HHH@TEPKVIHGL_@P[vAiAL[?[Iq@M[OUWQ]@MD}AjA_@TC?Q\\On@Ad@Fb@Tj@DHLJZNVPL@RJB?LKCMINFTDFAGHEGDADBB@AHQLGPWbAy@LE^_@HWHSJi@c@}AQWUe@EWSk@Oq@IUI[_@e@k@sAOYCAC@c@h@I@OG_@a@GCIKe@{AIMKG_@IMKAMLD@U]i@Q{@Gg@@q@Kg@?o@DUXw@h@}@F@T`@JHX@VFXABKEC?M^UTKVW\\Uh@i@AEE@EDZOh@c@DOASJCBKMWCQGaAQaA?q@@YFIjAm@NMJMVS', 'resource_state': 2}",False,False,False,False,everyone,False,g32036051,"[48.740416, 2.297363]","[48.743225, 2.296797]",2.988,7.995,False,False,False,77.7,52.3,20453892729,20453892729,204b2713-8976-4a9e-8839-6fb504d6f599-activity.fit,False,0,1,False,,,,,,,
2,"{'id': 35493527, 'id_str': '35493527', 'resource_state': 1}",Course à pied en soirée,5980.1,2114,2170,26.4,Run,Run,3.0,Garmin Forerunner 735XT,19218553375,19218553375,2026-07-07T18:01:46Z,2026-07-07T20:01:46Z,(GMT+01:00) Europe/Paris,7200.0,,,,0,0,0,1,0,"{'id': 'a19218553375', 'summary_polyline': 'k~nhHws_Mc@F[Kc@RQ`@]^]@Ul@?ZRr@?NQp@If@BR?PYn@aBlA_B|AcAr@CVT`AHt@QVH~@On@{@hAc@Vc@N_@`@c@Ba@RQRAo@IU]WUWo@mAa@a@{@kA_@[q@u@i@Oi@?_@ZQj@Nd@j@rA\\d@Zf@l@~ArBvEb@p@FPTzALh@RX@lANd@H`@`@jCDh@F`BIR[d@a@^sAbAm@v@w@vAiA~A@B^`@hAdAVLd@V~@r@`@?p@iAZ_@lAa@^[VYCQO]t@u@`@YVW\\g@Pw@A{@Kg@Wk@]We@K]LmBjBSXMp@Dz@Lr@Zf@b@Ld@SvBoBTo@@w@Oq@]c@e@Ae@XsAhAc@`@Un@?`@F`@Vj@b@Z`@EbCqBVm@Fu@Mw@GOi@a@K?]LmB|A_@`@Of@@v@Rj@b@b@b@@bCuBV[Ju@?_@Me@]g@e@Gc@TwBpBILMp@Ft@Vp@b@Zd@Ih@m@bB}ALq@E{@O_@MSa@Sg@R}BhBU\\Gr@DVJb@DL\\b@d@BdAw@hAgARWDODs@C[Ui@c@Ye@HcAz@_An@Yd@Gf@?LJr@HNZb@ZR`@b@XTN@DICa@l@]b@On@?f@WV}@A]a@aAOw@Wq@]gBQo@]e@]qAOYI[[o@mA{C]uAKo@Gw@KsB?c@\\Ud@If@g@hCuBH[U}Cq@qEIw@AKFmAMy@', 'resource_state': 2}",False,False,False,False,everyone,False,g32036051,"[48.740391, 2.297344]","[48.74374, 2.296585]",2.829,4.46,True,False,True,78.0,52.3,20335635750,20335635750,garmin_ping_595312214192,False,0,1,False,82.0,152.0,174.0,84.0,,,
2,"{'id': 35493527, 'id_str': '35493527', 'resource_state': 1}",Course sur champigny-sur-marne découverte,5661.4,2099,2099,13.9,Walk,Walk,,Strava App,19186905889,19186905889,2026-07-05T09:43:53Z,2026-07-05T11:43:53Z,(GMT+01:00) Europe/Paris,7200.0,,,,1,1,0,1,0,"{'id': 'a19186905889', 'summary_polyline': 'yd|hHyyhNQlBKVC`@?\\Cr@?bADJH@@LShEMdEK|AET?NELCnACFK?CHHPBN?pAFbCB|BThDPxFCvBF~BAlAm@xGMbC@TIbCCVWbAi@|CG~@OdA@jAEd@CfAGTINUVAFGt@Md@OrB_@zBCv@GXAAABSdAYnB{@fFWvB]zEAb@B^?XMxB@^EfBI~@DVGf@@LMl@OL?D[`DH^IdA?ZI`@DRMbBAf@QbBUPGEKMWS_C_BGKHo@AQN[Lc@R}@T_BLe@JO@G?QPsABKXoCJwAJcCB_@HY?YHiABk@FYF_AL[@y@HSPuA@c@Eg@BYJOLy@JuAJq@DaATgB\\aBfAaH\\oE?a@H{@HgBRgB\\aENqAHcCHe@DIHc@\\mIKoBD[Ii@Da@DGAAEn@B|@KSIqABK?YIc@M{D?CDB?IGQCs@BM?k@EyA@s@AeAFe@DE?BL?GfBADE?ACBACIAFG?ALB?BBJSGe@XqCBmCBs@BG@cBCIQKI?GGO{@Ac@@e@H}@AYTgCN{Cj@iIDM?m@IaB?oAEOEGQGQSAC@APNOS]Eq@SS?OJEt@GREn@?p@InAOl@EV?x@MfAEhA', 'resource_state': 2}",False,False,False,False,everyone,False,,"[48.810931, 2.51026]","[48.812471, 2.504342]",2.697,6.68,False,False,False,43.1,34.4,20303499330,20303499330,67810f52-dc83-4eec-9600-5987ecdb871a-activity.fit,False,0,0,False,,,,,,,
2,"{'id': 35493527, 'id_str': '35493527', 'resource_state': 1}",Récup,3751.4,1683,1844,10.5,Run,Run,0.0,Strava App,19155104919,19155104919,2026-07-02T18:06:45Z,2026-07-02T20:06:45Z,(GMT+01:00) Europe/Paris,7200.0,,,,0,0,0,1,0,"{'id': 'a19155104919', 'summary_polyline': 'o{nhH{b`MOW{A_E]u@[e@Ma@IQEWs@yA]mA[o@Y}@IIUCu@W}@QMACBQ@U?aAGaAM}AWe@Ew@Wc@BeBYWIU@MEAEIC}@Ge@BIAIAGGa@ACAAKC?i@Kk@Ga@AUDOCWD]SkBWOAIB]CCEoASK@w@GGBCVAABxAD^?CC?CF?N@FPZHf@Vp@J^ETGFGR]d@CJRpALf@`@rCNn@JZPhB?TEZCjBFf@AAJtAf@pD\\~Ab@zA?F\\t@\\d@Pf@vAdCTZNLXJDXAb@X\\H\\GRIFAH`AjBJDj@DVL\\f@VNv@p@v@lACKBAFDp@bBFB?CTVF@FGBBHZN\\\\fCJjBHl@TjA\\z@n@tAVfA|@fCT`@NDDJFZVr@Rv@\\bAR^X`ABh@KZIFGCCDGCEBk@`@OXKD]BaAt@GQBLADMAMR[VI?[TIAC@YVQDq@x@G?ALITGBI@GDIMGCKMKGi@c@KG[AOKKOQKEGGQOMCGMGAMMMLADG', 'resource_state': 2}",False,False,False,False,everyone,False,g32036051,"[48.740415, 2.297421]","[48.746228, 2.28714]",2.229,5.074,False,False,False,77.8,50.7,20271211059,20271211059,2e650239-54ef-4278-97dc-59a1b92de024-activity.fit,False,0,0,False,,,,30.0,,,
2,"{'id': 35493527, 'id_str': '35493527', 'resource_state': 1}",Marche le soir,2864.9,2361,5592,25.3,Walk,Walk,,Strava App,19142414907,19142414907,2026-07-01T18:50:56Z,2026-07-01T20:50:56Z,(GMT+01:00) Europe/Paris,7200.0,,,,0,0,0,1,0,"{'id': 'a19142414907', 'summary_polyline': 'k~nhHgt_ME?QNOFC?OOK?GJUDKFCB@REFYFSJOGG?MZ?HOZCR@RTV?EJ\\CXGHANKZE@?H?NDDDPANORc@`@SLYXo@ZMNw@h@ABAEIBGJu@h@IN@NAAPf@Bj@HR@LFPCh@HJFv@GVq@l@KTKAGDM?EDAHMNMDK?[VIN_@LMGG@YTIBC?@PJ^?PL^CHATBJFhA@D@CBd@DXA?H^CNMXKDAFEEEJ@EEDLGCDDEMNNKILEFLUKDHKGD?@BCCF@ECFFKSRT]MVJIQNNOD??AMJ@ELKMLJE@EE[EOAu@DMAG@MCq@EK@[AGO?IY?OECGQ?g@VSBOGe@Mc@q@g@KUCAAGk@k@AMUKUe@E?EICMKGKQu@US[WY_@GEF_@e@_@o@MMQUD_@D[CYNSPCRGBCZE^KF?@@FKDAHGP?XMD?JEROJ?BFHC@@HEJ@JEb@YDAHFB?RSF?NKVGD?DC@GLMF?BJFSDAXWHCNBFFBAD?\\NJARDXCVKBS`@Uf@i@LY?IJ?HBx@[TCJIb@GHBJRJHF?LPF?HCDK?KR}@FEBK@MCCVD^EF@PUBBFED?FEDHDAF@LMb@U', 'resource_state': 2}",False,False,False,False,everyone,False,,"[48.740434, 2.297389]","[48.740465, 2.297377]",1.213,3.04,False,False,False,77.8,52.3,20258363254,20258363254,ce282ab3-d0dd-4a3f-9a5d-83f0ae0e7b4b-activity.fit,False,0,0,False,,,,,,,
2,"{'id': 35493527, 'id_str': '35493527', 'resource_state': 1}",Course à pied en soirée,5164.5,1803,1833,42.1,Run,Run,,Garmin Forerunner 735XT,19186350310,19186350310,2026-06-30T17:20:40Z,2026-06-30T19:20:40Z,(GMT+01:00) Europe/Paris,7200.0,,,,3,0,0,1,0,"{'id': 'a19186350310', 'summary_polyline': 'w~nhHat_M[NGEg@C{@~@UBKHE?MD?h@IZ_@SUWa@Mg@NiBjAe@TiBlAg@Ec@IC@DHUZQGe@?_Aj@u@ZoBvAe@Bu@V_A@I@a@R@JEZOXZb@Nn@Sv@Eh@vBjDn@rARp@vAbEt@tAd@rBR`@Ex@B^Tn@NrAXpA?z@Lh@Kp@mBjBKFw@|@Yj@Qf@u@|@Yf@u@x@[T_@^QDMOCBI\\oA~AUR_ANa@X_@n@yBpCa@ToAdAa@RYVIZo@oBGJB`@Kr@U`@a@[Ye@]_@YSeAe@gAq@wAm@g@Me@GqDyAy@McAq@oBu@IAOHCx@EVQb@HNb@Tz@Dx@Pd@Rb@Jd@Db@FVLdAv@`@RhAb@bBb@d@Jb@Nn@FTC`@SBIAIYYiDeBe@Oq@]}@Oe@Uo@WeA[w@KgAu@_Aa@iA]KsBPoEGs@^iAH{@l@aDPoATy@hA_GXwDFcCT}@Jm@?{@Fs@^]^e@vAsBj@wAdBsDLg@Ee@[i@Wq@@EnCqD`@U\\Kd@Eb@@', 'resource_state': 2}",False,False,False,False,everyone,False,g32036051,"[48.740444, 2.297493]","[48.750766, 2.295871]",2.864,4.778,True,False,True,89.5,52.5,20302936956,20302936956,garmin_ping_594164949657,False,1,0,False,82.4,154.5,174.0,79.0,,,
2,"{'id': 35493527, 'id_str': '35493527', 'resource_state': 1}",Course à pied le soir,5366.4,1842,1864,41.9,Run,Run,3.0,Strava App,19127009394,19127009394,2026-06-30T17:20:20Z,2026-06-30T19:20:20Z,(GMT+01:00) Europe/Paris,7200.0,,,,1,0,0,1,0,"{'id': 'a19127009394', 'summary_polyline': '_~nhHot_Mc@LIAAEKCM?MJMROHMTk@ZOBCF@D@KAEQEKFIRC@YECEAQ@VGOEHUKGFUDe@f@s@b@[LgAl@g@ZSRWJYBWMC?ANIECB@IA@G?GLGFYKSBOCs@EIDLR@A@B@JEFoAXq@h@O@g@RO@]NMLI@QC]Dy@XI?ABAXAHQJEPPp@Rd@DJ?NCL[NEJ@NLJFb@l@pAb@x@j@zAT\\j@vAXbA|@`BHVJp@HHVHTTBb@Iv@@RHZVd@RpB?Nh@tCDp@ARq@|@ULU\\UNm@l@?CC?CTKRm@z@_@b@@CLA@JCJy@n@]x@SViAz@EAKWIEEb@CJq@lASVSLe@Bc@FSHWXs@tAk@h@c@l@SNi@HGH[l@_@Zg@VI?GCC@ABE`@C@EEAa@Q_@G_@EKG@Cj@@T[nAEBKCWc@]UMOAGTW@KK?YFE?QYSGWUMCy@e@[Us@]aBm@a@B]Gc@WgBo@s@CSOY]a@Mc@Uo@UOACDGb@Ap@GHMDCLFHJHd@JHHL?FEJCVAJDTT`@L^Rj@HR?VJr@d@b@THHFDFJLAH@`@Ld@R@ACX@PJTd@e@T?~@PXA\\G\\OLIBMECA@CAUSAGaA[sAy@}Ae@u@GQEc@Yk@U}Aa@UCOIOSMI]I_@Wi@Uk@KIM@[Ec@b@gE?OC[Pe@LaA@i@LoAXcB?GX{@Fg@`@gBl@kEf@[BEFB]k@Ea@BQPc@FyBDUHQ@OAiAHeAXa@Ri@h@_ARm@j@qAx@mAj@aATW^w@De@C]Me@[w@AO@MHKJWX]v@qARIb@[`@QRE^DVIHFXp@', 'resource_state': 2}",False,False,False,False,everyone,False,g32036051,"[48.740369, 2.297348]","[48.750731, 2.295718]",2.913,10.16,False,False,False,89.5,52.5,20242729361,20242729361,d02fd350-96ad-481a-9593-0ebd4d6aba0d-activity.fit,False,0,0,False,,,,48.0,,,
2,"{'id': 35493527, 'id_str': '35493527', 'resource_state': 1}",Test strava premium récupération API plus courte course canicule,2697.7,1036,1039,18.2,Run,Run,3.0,Strava App,19085580586,19085580586,2026-06-27T12:36:13Z,2026-06-27T14:36:13Z,(GMT+01:00) Europe/Paris,7200.0,,,,1,0,0,1,0,"{'id': 'a19085580586', 'summary_polyline': 'ymrhHi~`MlAh@nAn@bAPt@TjA^d@V^NHCJK~@J`@@r@P|@`@^JHEDLFFlAd@XX`@X\\\\\\TzBlAZJ`B~@JBFAHXFFNDLHPApA\\L@VRDBf@FX?b@QV]BAPBf@Bn@HtADv@JjAFf@FbBLJKFS`@s@FCD@R\\D\\ZvAR\\p@r@b@Rx@RX@hARtBPDLLpAEJQECBBNFJZLHNVGRv@Hb@HTVn@PZZb@^x@NL\\dAJRn@f@h@z@d@d@\\BHJVHXFN@PLt@w@b@Yh@g@\\UpA_@h@IF@', 'resource_state': 2}",False,False,False,False,everyone,False,g32036051,"[48.762702, 2.30556]","[48.742006, 2.296875]",2.604,3.697,False,False,False,65.1,50.7,20200575412,20200575412,00da78d3-76b0-4646-b7e0-aeb5b8c68108-activity.fit,False,0,0,False,,,,,,,
2,"{'id': 35493527, 'id_str': '35493527', 'resource_state': 1}",Course à pied dans l'après-midi,2003.1,881,7328,11.3,Run,Run,,Garmin Forerunner 735XT,18600266080,18600266080,2026-05-17T12:16:02Z,2026-05-17T14:16:02Z,(GMT+01:00) Europe/Paris,7200.0,,,,0,0,0,1,0,"{'id': 'a18600266080', 'summary_polyline': 'sfnhH}u_M?W[kASq@}@cCES?SRk@bF_C`Aq@pCeAl@[~@Yb@Ud@DBB^`@x@~ALh@\\`CHd@FHRNV@n@SjAF`AEZZTlAThCHhAP|AeLqJS~@?BCHUP@AGLM?UJk@HYN_@l@s@^_Al@_@\\}@h@WXe@JWCc@q@[Ee@?c@Z', 'resource_state': 2}",False,False,False,False,everyone,False,,"[48.740335, 2.296707]","[48.740428, 2.297351]",2.274,3.975,True,False,True,88.9,77.9,19706899721,19706899721,garmin_ping_574393589121,False,0,0,False,81.4,138.8,164.0,19.0,,,
2,"{'id': 35493527, 'id_str': '35493527', 'resource_state': 1}",Course à pied le matin,4879.5,1802,3744,41.7,Run,Run,,Garmin Forerunner 735XT,18512898812,18512898812,2026-05-15T05:33:35Z,2026-05-15T07:33:35Z,(GMT+01:00) Europe/Paris,7200.0,,,,1,0,0,1,0,"{'id': 'a18512898812', 'summary_polyline': '}hnhH}z_MLW?EQg@WoA?YDSRe@t@Sb@Qt@a@\\_@h@Yd@Ob@YrAg@NUf@KhA[z@Gf@Ij@b@nIzHXENJT|@ZlBf@hF`@dBJx@j@vCLfAEt@J`@b@bA\\^FDb@?rBeAjDoAbBu@`@_@x@aAZIf@DTG`@U^EPr@\\hDR|@LLH^h@|Aj@pCVj@H^Zb@D?VWLJzAvCFp@{BjA}Aj@CJL~AEx@Yv@_@n@Q`@]`@eAl@Yj@}BzA_@`@sApAm@R{Ap@yAf@e@Xa@Z]b@eAd@cBl@OT]\\w@Tc@Tc@Bg@`@y@Xa@ZE?]c@_@?_@eCCw@g@_EKqAs@oDKu@MKOHmA\\a@Xe@Jm@ROBMUe@mBWu@UyAg@gBYqAIi@IAo@l@YFIOWq@a@kCWqBK{@Ck@Su@WoBMa@k@}AOOo@g@Y_@[m@', 'resource_state': 2}",False,False,False,False,everyone,False,,"[48.740556, 2.29716]","[48.740836, 2.297163]",2.708,4.257,True,False,True,92.4,65.9,19618477221,19618477221,garmin_ping_571558917365,False,0,0,False,81.7,146.7,174.0,56.0,,,
